video_id,title,description,published_at,channel_title,thumbnail_url
LRqmFX6mOM0,"Next Big Thing for Data Engineers - Open Table Formats 🚀 (Apache Iceberg, Hudi, Delta Tables)","6 Course Combo Pack (Python, SQL, Data Warehouse (Snowflake), Apache Spark (Databricks), Airflow and Kafka with 16 ...",2025-03-16T13:43:02Z,Darshil Parmar,https://i.ytimg.com/vi/LRqmFX6mOM0/default.jpg
g8Eejnqm4Tg,Best Coding Platform for Data Engineers - Solve Real-World Interview Questions,"Access the platform here - https://bit.ly/4bcUfIt Don't Miss Out, on a HUGE DISCOUNT —Act Now Before It's Too Late! Only the ...",2025-02-22T13:30:24Z,Darshil Parmar,https://i.ytimg.com/vi/g8Eejnqm4Tg/default.jpg
l_DSupG77ME,Only Data Engineering Roadmap You Need 2025,"6 Course Combo Pack (Python, SQL, Data Warehouse (Snowflake), Apache Spark (Databricks), Airflow and Kafka with 16 ...",2025-02-13T14:03:48Z,Darshil Parmar,https://i.ytimg.com/vi/l_DSupG77ME/default.jpg
tww94IpKouw,"Complete Guide To Get Remote Job in 2025 | Make $10,000 Per month",Zero To Hero Data Engineering Pack: https://bit.ly/48qG6G7 The Ultimate Guide to Become a Freelancer in 2025 and Start Making ...,2025-01-12T14:01:02Z,Darshil Parmar,https://i.ytimg.com/vi/tww94IpKouw/default.jpg
vG6zNUy_4Hw,DON&#39;T Get Left Behind! 2025 Data Engineering Trends to Master!,"Zero To Hero Data Engineering Pack: https://bit.ly/48qG6G7 2025 is going to be BIG for data engineering! In this video, I'll share ...",2024-10-27T15:07:20Z,Darshil Parmar,https://i.ytimg.com/vi/vG6zNUy_4Hw/default.jpg
FB4_y25Iifw,Master Apache Airflow: 5 Real-World Projects to Get You Started,Get the Apache Airflow Course Here - https://bit.ly/4f5Ml57 USE CODE - EARLYAIRFLOW for 50% discount Combo Package ...,2024-08-25T14:00:12Z,Darshil Parmar,https://i.ytimg.com/vi/FB4_y25Iifw/default.jpg
hf2go3E2m8g,Fundamentals Of Data Engineering Masterclass,Combo Package Python + SQL + Data warehouse (Snowflake) + Apache Spark + Apache Airflow: ...,2024-08-18T13:05:41Z,Darshil Parmar,https://i.ytimg.com/vi/hf2go3E2m8g/default.jpg
KIqteLTVLy8,Building Your First Data Engineering Portfolio: A Step by Step Guide (2024),Check Out My Data Engineering Bootcamp: https://datavidhya.com/combo-course-info USE CODE: COMBO50 for a 50% discount ...,2024-08-04T13:30:03Z,Darshil Parmar,https://i.ytimg.com/vi/KIqteLTVLy8/default.jpg
1rW89Sd6HYU,Data Engineering Was Hard Until I Learned These 5 Secrets!,Check Out My Data Engineering Bootcamp: https://bit.ly/3yXsrcy USE CODE: COMBO50 for a 50% discount Learn more about ...,2024-07-08T15:44:34Z,Darshil Parmar,https://i.ytimg.com/vi/1rW89Sd6HYU/default.jpg
Ydts27Qa8H0,Learn Kafka in 10 Minutes | Most Important Skill for Data Engineering,Check Out My Data Engineering Bootcamp: https://bit.ly/3yXsrcy USE CODE: COMBO50 for a 50% discount Learn more about ...,2024-06-30T13:28:13Z,Darshil Parmar,https://i.ytimg.com/vi/Ydts27Qa8H0/default.jpg
ZHC96suZr-c,My Data Engineering Journey in 5 Minutes | Projects | Tools,Combo Package Python + SQL + Data warehouse (Snowflake) + Apache Spark: ...,2024-06-09T15:55:43Z,Darshil Parmar,https://i.ytimg.com/vi/ZHC96suZr-c/default.jpg
JUws0cMnL78,What Does a Data Engineer Do? Explained Simply,Combo Package Python + SQL + Data warehouse (Snowflake) + Apache Spark: ...,2024-05-19T13:00:27Z,Darshil Parmar,https://i.ytimg.com/vi/JUws0cMnL78/default.jpg
r_K9hznoPKU,"The State of Data Engineering in 2025 - Jobs, Salary, Layoff, AI and Future",Check Out My Data Engineering Bootcamp: https://bit.ly/3yXsrcy USE CODE: COMBO50 for a 50% discount Learn more about ...,2024-05-12T13:00:51Z,Darshil Parmar,https://i.ytimg.com/vi/r_K9hznoPKU/default.jpg
0iNJPKheQqM,IPL Data Analysis | Apache Spark End-To-End Data Engineering Project,Enroll in the Apache Spark Course Here - https://bit.ly/3XnUCdP USE CODE: EARLYSPARK for 50% off Check Out My Data ...,2024-04-21T13:30:00Z,Darshil Parmar,https://i.ytimg.com/vi/0iNJPKheQqM/default.jpg
XnPF-MDMUzc,You&#39;re not stupid: How to learn difficult things | Complete Guide,Check Out My Data Engineering Bootcamp: https://bit.ly/3yXsrcy USE CODE: COMBO50 for a 50% discount How To Take ...,2024-04-14T13:10:17Z,Darshil Parmar,https://i.ytimg.com/vi/XnPF-MDMUzc/default.jpg
V7ue-tM2aYU,Best Apache Spark Course with Databricks for Data Engineering | 2 End-To-End Projects,Enroll in the Apache Spark Course Here - https://bit.ly/3XnUCdP USE CODE: EARLYSPARK for 50% off ➡️ Check Out My Data ...,2024-03-31T13:00:21Z,Darshil Parmar,https://i.ytimg.com/vi/V7ue-tM2aYU/default.jpg
KV4hZR5-D-4,How I Got 60LPA Remote Job as Data Engineer,Check Out My Data Engineering Bootcamp: https://bit.ly/3yXsrcy USE CODE: COMBO50 for a 50% discount Purchase Individual ...,2024-03-11T15:22:46Z,Darshil Parmar,https://i.ytimg.com/vi/KV4hZR5-D-4/default.jpg
,5 End-To-End Data Engineering Projects in 2024,5 Best Data Engineering Projects to do in 2024.,2024-03-07T06:53:59Z,Darshil Parmar,https://i.ytimg.com/vi/yZKJFKu49Dk/default.jpg
Ihm53yWftI8,How To Read Tech Books? (Things I learned after reading 21 books),Check Out My Data Engineering Bootcamp: https://bit.ly/3yXsrcy USE CODE: COMBO50 for a 50% discount Purchase Individual ...,2024-03-03T13:00:25Z,Darshil Parmar,https://i.ytimg.com/vi/Ihm53yWftI8/default.jpg
AUb1il2F73c,Data Engineering Certifications To Get Ahead Of 99% People,Check Out My Data Engineering Bootcamp: https://bit.ly/3yXsrcy USE CODE: COMBO50 for a 50% discount Purchase Individual ...,2024-02-25T13:15:57Z,Darshil Parmar,https://i.ytimg.com/vi/AUb1il2F73c/default.jpg
